"","a",""
"1","1","rt rssurjewala fascism reaches its  nadir  as a shaky modi govt caught in its web of lies seeks to muzzle all independent voices in med "
"2","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"3","1","rt jitupatwari                                                                                                                         "
"4","1","rt jitupatwari                                                                                                                         "
"5","1","rt jitupatwari                                                                                                                         "
"6","1","rt charupragya ecofriendly bag pen and  exam warriors  as our kit for the bjym national office bearers meeting in mumbai today              http "
"7","1","rt jitupatwari                                                                                                                         "
"8","1","rt vickramswami                                                                                                                        "
"9","1","rt jitupatwari                                                                                                                         "
"10","1","rt jitupatwari                                                                                                                         "
"11","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"12","1","rt jitupatwari                                                                                                                         "
"13","1","rt jitupatwari                                                                                                                         "
"14","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"15","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"16","1","rt jitupatwari                                                                                                                         "
"17","1","rt jitupatwari                                                                                                                         "
"18","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"19","1","rt examwarriors its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m on th "
"20","1","its your chance to show your gratefulness to someone through a gratitude card which you can find in activity m  tcommpyuezu"
"21","1","rt rahulgandhi pm wrote exam warriors a book to teach students stress relief during exams  next up exam warriors  a book to teach st "
"22","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"23","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"24","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"25","1","rt sushmitadevmp is narendramodi ji planning a new edition of his book on exam warriors with a new chapter on how to handle the trauma "
"26","1","rt rahulgandhi pm wrote exam warriors a book to teach students stress relief during exams  next up exam warriors  a book to teach st "
"27","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"28","1","rt rahulgandhi pm wrote exam warriors a book to teach students stress relief during exams  next up exam warriors  a book to teach st "
"29","1","rt jitupatwari                                                                                                                         "
"30","1","rt jitupatwari                                                                                                                         "
"31","1","rt bjpkaushambi                                                                                                          tcor "
"32","1","rt rahulgandhi pm wrote exam warriors a book to teach students stress relief during exams  next up exam warriors  a book to teach st "
"33","1","rt jitupatwari                                                                                                                         "
"34","1","                                                                                               tcoxfucpdulr"
"35","1","rt jitupatwari                                                                                                                         "
"36","1","rt jitupatwari                                                                                                                         "
"37","1","rt jitupatwari                                                                                                                         "
"38","1","rt indianexpress expressfrontpage look who is busting fake news for  ministers site with exam warriors link  tcovgvojd"
"39","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"40","1","rt jitupatwari                                                                                                                         "
"41","1","rt jitupatwari                                                                                                                         "
"42","1","rt jwjholloway thank u  the fabulous trueedgecombat  the  phenominal week long intermediate  intensive absolute blast performing wit "
"43","1","rt jitupatwari                                                                                                                         "
"44","1","rt rahulgandhi pm wrote exam warriors a book to teach students stress relief during exams  next up exam warriors  a book to teach st "
"45","1","rt jitupatwari                                                                                                                         "
"46","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"47","1","rt jitupatwari                                                                                                                         "
"48","1","rt jitupatwari                                                                                                                         "
"49","1","rt jitupatwari                                                                                                                         "
