"","a",""
"1","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"2","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"3","1","rt britishswimming just a few shots from this mornings session of gcswimming  who are you looking forward to seeing in action today "
"4","1","commonwealth games talha talib smashed the commonwealth record with kg in the snatch event and opened the tally  tcoxaqozft"
"5","1","gold coast  medal tally comm games aus has  gold  silver and  bronze england sits at second with  go  tcoyebyjqmtwe"
"6","1","   six points on the trot for ashwini and satwik  excellent attacking play from the indian duo the malaysian  tcomebxlwpe"
"7","1","we have been upgraded to official partner of the gc commonwealth games to deliver endtoend it services for t  tcopfxnwaucqc"
"8","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"9","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"10","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"11","1","freo sweep round three aflca voting  the votes v gold coast nat fyfe freo    ed langdon freo    alex pearce  tcowbbzpnz"
"12","1","cairns is playing an important role in the success of gc great to attend the gold coast  commonwealth gam  tcosvclyqgso"
"13","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"14","1","good luck to wheelchair sports nsw member matt levy competing tonight at pm in the s m freestyle   go for i  tcoudtvzgez"
"15","1","three fined after gold coast clash  aaron sandilands will be free to face the giants this saturday tcoyqxpkilqdl"
"16","1","gold coast  commonwealth games update  team nigeria continues to struggle in the boxing event at the ongoing g  tcogfgdxzvxv"
"17","1","rt financialxpress commonwealthgames shooters mehulighosh apurvichandela win silver bronze at cwg  tcooqlzmwwbn htt "
"18","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"19","1","gc live gc commonwealth games day  now on bbcone with gabbylogan featuring gcsquash  tcofnwmouxh"
"20","1","we have been upgraded to official partner of the gc commonwealth games to deliver endtoend it services for t  tcoadrpztqlqm"
"21","1","rt britishswimming just a few shots from this mornings session of gcswimming  who are you looking forward to seeing in action today "
"22","1","rt itgdsports its time for gcbadminton mixedteam final between india and malaysia gc  tcokidojwf"
"23","1","   peng and liu have controlled the pace of the game to take a fourpoint lead over ashwini and satwik  will t  tcodbetmmzrvl"
"24","1","just a few shots from this mornings session of gcswimming  who are you looking forward to seeing in action to  tcoekskdsdhf"
"25","1","busy morning of gc commonwealthgames action ahead with uniofbath sporting scholars camchalmers  tcomwhbxutf"
"26","1","emily seebohm has blamed the australian media for being down on confidence after being relegated to m backstroke  tcoyjvtdazr"
"27","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"28","1","rt canbball canada                          takes on new zealand                          to conclude pool play at the at the gold coast  commonwealth games with a win canada "
"29","1","threepeat                  gold coast tcoitihgkadqe tcoufgwobxnov"
"30","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"31","1","atos has been upgraded to official partner of the gc commonwealth games to deliver endtoend it services fo  tcoycyfxojkqj"
"32","1","rt livehindustan cwg                                                            tconqnsdcsi"
"33","1","rt astroarena skuasy nicol ucap selamat tinggal kepada sukan komanwel tanpa pingat tcohspkpmouo"
"34","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"35","1","rt astroarena skuasy nafiizwan bawa pulang gangsa tcokyndelqzk"
"36","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"37","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"38","1","watching the men s kg  weightlifting final at comm games  great atmosphere   at gold coast  commonwealth  tcohhpaznhs"
"39","1","rt adgpi naib subedar deepak lather of bombay sappers indianarmy became the youngest male weightlifter at the age of  to win a common "
"40","1","canada                          takes on new zealand                          to conclude pool play at the at the gold coast  commonwealth games with a wi  tcobhpsuzcnyv"
"41","1","digitalleader atos we have been upgraded to official partner of the gc commonwealth games to deliver endtoe  tcorafog"
"42","1","rt thelalitgroup best wishes to all the athletes representing india at the gold coast  commonwealthgames gc  gc"
"43","1","we have been upgraded to official partner of the gc commonwealth games to deliver endtoend it services for t  tcoqtpsomtey"
"44","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"45","1","rt teambathnetball well done to england netball who are guaranteed a semifinal place at the gold coast  commonwealth games after thi "
"46","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"47","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"48","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"49","1","rt britishswimming whether youre heading off to school work or just out for the day take    mins grab a   and catch up on the overnig "
"50","1","rt airdelhi stay tuned with air fm rainbow for fm updates on st commonwealth games  being held in gold coast australia from  a "
"51","1","rt aajtak                                                                                               tcoztgivchx"
"52","1","the malaysians have defended brilliantly in the early stages of the decider   ashwini and satwiksairaj need to up t  tcoaurdnnxgu"
"53","1","rt iamsamisamuel our rugby teams kenyasevens amp kenyalionesses will be participating in  commonwealth sevens set for gold coast aus "
"54","1","rt pmoindia india s weightlifters are also lifting our position in the medal s tally well done sathish kumar sivalingam for clinching a "
"55","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
