"","a",""
"1","1","amazing photography by jashanarora      siddnigamoff looking very handsome                          tcofusvacnt"
"2","1","waiting for the flight              travel sidd siddnigamoff iavneetkaur off to lucknow                          tcowjaiqssy"
"3","1","meyashasvi                 "
"4","1","rt mamataofficial congratulations kkriders for winning your opening match congratulations iamsrk shah rukh"
"5","1","rt sudhirchaudhary breaking information delhi ncr to be hit by massive earthquake between  april according to nasa is fakeits a fak "
"6","1","rt zeenewshindi                                            pm zeenews tcohwqtmoaemw"
"7","1","rt wionews watch  born with dysfunctional arms yearold writes the exam with toes tcoszetdpr"
"8","1","rt zeenewshindi                                                                 exclusive           tcoejwicibc"
"9","1","rt swamy it is too late for namo to cancel his visit to uk for the commonwealth conference but he should resolve never again to go co "
"10","1","jabykoay plezz collab with farukh shabbir  pakistani reacts  plezzz"
"11","1","subhashchandra                                "
"12","1","rt subhashchandra                                                                                                                       "
"13","1","jaggesh kanoonige kannu irodu nijavadre intha dhakaytaranna hididu hakodralli yashasvi adre avaga arakshakaru idd  tcoalfptffiby"
"14","1","rt anjoria                                                                                                                          "
"15","1","rt shashvatsingh a stellar performance shown by india in last three years today  of our population has access to electricity i am su "
"16","1","rt ddnewslive and congrtulations again                                                   year old manubhaker wins gold  games record in womens m air pistol  heena sidh "
"17","1","rt ddnewslive congratulations                           india                         gets th gold in cwgweightlifting   punam yadav wins gold in womens  kg category wit "
"18","1","rt dna cwgindia gold medal number  for india weightlifter punam yadav wins gold in womens kg event tcouatvmsp"
"19","1","kirtipa wetwokrishna radhey radhey              radhey ki kirti yashasvi ho"
"20","1","rt swamy too many former power holders have too much too lose today because of namo s determination to fight corruption even honest of "
"21","1","rt ddnewslive cwg venkatrahulragala wins gold in mens kg weightlifting this is indias fourth gold medal at the games  gc "
"22","1","rt iafmcc gaganshakti  first light on  apr  iaf embarked on one of the largest pan india exercise to validate its concept of "
"23","1","rt adgpi naib subedar deepak lather of bombay sappers indianarmy became the youngest male weightlifter at the age of  to win a common "
"24","1","rt thekhbri finally salman khan has been granted bail   retweet if you are happy now            "
"25","1","best friends goals love youuu yashasvi                                                 tcoukqpgmpwjk"
"26","1","rt zeenewshindi                                                                  tcodhlxjxfgj"
"27","1","rt ddnewslive day  begins with another gold congratulations sathy sathishsivalingam for successfully lifting  kg in the  k "
"28","1","rt dna commonwealth games  weightlifter sathish kumar claims second successive cwg gold tcouzznltmppm gc tco "
"29","1"," people followed me and one person unfollowed me  automatically checked by tcoldswj"
"30","1","sdhawan safridiofficial bohot badiya shikhar sir"
"31","1","safridiofficial un i salute u sir ur interpretation is outstanding without knowing anything about those kashmiri  tcowdqqaplu"
"32","1","sudhirchaudhary dnazeenews                                                                                      tcoumitfbbgr"
"33","1","               parleg                               rrenu jain lalchand vaishnav loveleen saluja naveen jain pooj  tcokqzgomzpa"
"34","1","rt zeenewshindi                                                                           tcofkhdcvgb"
"35","1","rt sudhirchaudhary please welcome anilsinghvizee to zeebusiness you can watch him on zeebusiness monday onwards for best market analys "
"36","1","sintamampuni evelynbravo khalejag wannaimah carsconnectgr tlpthelaundry cartersnurk luisasparzaleon  tcobrbnqdot"
"37","1","i am ready to embracethenew"
"38","1","wiprocareers  wonderful technology  embracethenew"
"39","1","flipkart deal of the days  flipkart amazon shopping  yashasvi decor table lamp  mrp       deal price  tcohriemuzwjy"
"40","1","rt lostboy just jotted down what i really feel about beingsalmankhan and this current scenario  backlash is expected but              you stand "
"41","1","meyashasvi               pbovo                                                                        "
"42","1","bimtechconvocation medalawardees  bimtech congratulates the gold medal awardees aditya vardhan shallika sing  tcowvdjhco"
"43","1","rt ddnewslive women are leaders everywhere we look  narishakti   womenempowerment   betibachaobetipadhao cwg tcofbilv "
"44","1","en route jodhpur have already spotted blackbuck chinkara nilgai and peacocks this world is a beautiful place  tcowrhggebf"
"45","1","rt iamsrk bahut acchha hai humare anthem se better hai cos kkr is your team amp u make it what it is love u and thanks tcozcro "
"46","1","rt dnazeenews dna                                                                                      sudhirchaudhary        live n "
"47","1","rt dna india at cwg day  mirabai chanu gururaja begin indian medal quest with a gold and silver on thursday at gc t "
"48","1","rt sudhirchaudhary dna is live on facebook nowstay connected wherever you are tcojtwgivpgd"
"49","1","rt sudhirchaudhary                                                                                                zeenews                "
"50","1","rt sudhirchaudhary just to inform all of you zeenews is not available on den cable networkthey are charging you full amount but not sho "
"51","1","rt pragya meyashasvi passportsevamea please help"
"52","1","meyashasvi passportsevamea please help"
"53","1","pls help me mam otherwise i will miss the chance passportsevamea tcopzpsinnj"
"54","1","meri pyari beti yashasvi mahawar tcojmjhczdxou"
"55","1","yashasvithakur sudhirchaudhary sir you are great person"
"56","1","arent we lucky to have educated professors like him  read the article puked at the statement now going out  tcospxlvt"
"57","1","sintamampuni evelynbravo khalejag wannaimah carsconnectgr tlpthelaundry cartersnurk luisasparzaleon  tcopuycoahd"
"58","1","rt dnazeenews dna        article a                                   dna                  zeenews    sudhirchaudhary       "
"59","1","rt dnazeenews watch dna live now with sudhirchaudhary tcoscsfncbp"
"60","1","rt swamy chidambaram knew the icici bank   videocon rs crore loan and other dubious deals  tcorbgjfm via pgurus"
"61","1","rt sudhirchaudhary dna is live on facebook nowstay connected wherever you are tcoioqynmkei"
"62","1","wwwyashasvi gautamgambhir safridiofficial un yashasvi  gautam gambhir answer to afridi tcomwnhqwiq"
"63","1","rpobhopal siri m yashasvi yrs old n student of cls in jbpi have applied for my passport last month to atten  tcoocvygis"
"64","1","passportsevamea i m yashasvi yrs old n student of cls in jbpi have applied for my passport last month to att  tcojuaxnilv"
"65","1","cpvindia siri m yashasvi yrs old n student of cls in jbpi have applied for my passport last month to attend  tcorhmafpylz"
"66","1","mjakbar siri m yashasvi yrs old n student of cls in jbpi have applied for my passport last month to attend  tcoicsgulm"
"67","1","genvksingh siri m yashasvi yrs old n student of cls in jbpi have applied for my passport last month to att  tcobmruhzai"
"68","1","tcoeoowxrdrhj"
"69","1","this is their age to be in school they said precisely the point violence misguided youth"
"70","1","rt sudhirchaudhary i salute commando ramdasbahu he is the real hero crpf tcoqbfduzzoc"
"71","1"," people followed me and one person unfollowed me  automatically checked by tcoldswj"
"72","1","sushmaswaraj mami m yashasvi yrs old n student of  in jbpi have applied for my passport last month to atten  tcotkuojvfay"
"73","1","authackeray akshaykumar nimishdass"
"74","1","rt dnazeenews dna  watch analysis on fake news with sudhirchaudhary  live now tcoymouafuh"
"75","1","rt sudhirchaudhary dna is live on facebook nowstay connected wherever you tcoyguzdqwn  attendance in rajya sabha do you th "
"76","1","rt sudhirchaudhary surprised to see media s fanboy moment for sachin tendulkarwith just  attendance is rajya sabha he doesn t deserve "
"77","1","rahulgandhi tu mar ja bhai              yashasvi thakur sir ko pm candidate bna"
"78","1","yashasvijaiswal hi yashasvi could you follow us amp let us know once you do so that we could discuss next steps ov  tcohgjbgk"
"79","1","rt anjoria                                                                                                                               "
"80","1","rt pgurus swamy you were right indian express has this story today  tcoeddagcjbx  looks like there is a mr  and a m "
"81","1","rt sudhirchaudhary observe the difference how media reports killing of terrorists in jampka large section of media have started mentioning "
"82","1","rt sudhirchaudhary governor says it s morally impossible to continue with with such a heavy burden can you imagine this happening with i "
"83","1","rt bilalmalik mephamhs its february"
"84","1","rt shashvatsingh a heartening news sharada sinha ji has played an important role in making folk songs of bihar gain popularity globally "
"85","1","it should also be noted that we have had a dalit chief justice of india it should further be noted that this govt  tcoalkeymk"
"86","1","new photoshoot coming soon    siddnigamoff tcogwbgfsbhw"
"87","1","rt iamsrk great to see our old friends nokiamobilein with kkriders again tcoujzruioo"
"88","1","rt rashtrapatibhvn presidentkovind presents padma bhushan to shri mahendra singh dhoni in sports one of indias most successful cricket "
"89","1","rt rashtrapatibhvn presidentkovind presents padma bhushan to dr sharda sinha in the field of art music a legendary bhojpuri folk sing "
"90","1","                         tcozwotzjsi"
"91","1","                                                                                                                   tcoqthkormfhz"
"92","1","rt ihrithik to all our sons and daughters and to the child within us all sharing something i wrote   headphones please tcoe "
"93","1","rt myogiadityanath                                                                                                             "
"94","1","such humility                    yashwantsinha selfobsession tcotpelfwdo"
"95","1","rt iamsrk great to see our old friends nokiamobilein with kkriders again tcoujzruioo"
"96","1","                                                                                                                    tcokgjbgsxt"
"97","1","                            phonelaptop                                                                            tcovziztqbge"
"98","1","                                                                                               facebookinstagramt  tcowihropad"
"99","1","rt harvardbiz design your life together tcoxyaumtvk"
"100","1","yashasviindia aadityavijays rammadhavbjp jai hind ji"
