"abandoned","partial stress"
"abandons","partial stress"
"abducted","partial stress"
"abduction","partial stress"
"abductions","partial stress"
"abhor","partial stress"
"abhorred","partial stress"
"abhorrent","partial stress"
"abhors","partial stress"
"abilities","happy"
"ability","happy"
"aboard","normal"
"absentee","normal"
"absentees","normal"
"absolve","happy"
"absolved","happy"
"absolves","happy"
"absolving","happy"
"absorbed","normal"
"abuse","partial stress"
"abused","partial stress"
"abuses","partial stress"
"abusive","partial stress"
"accept","normal"
"accepted","normal"
"accepting","normal"
"accepts","normal"
"accident","partial stress"
"accidental","partial stress"
"accidentally","partial stress"
"accidents","partial stress"
"accomplish","happy"
"accomplished","happy"
"accomplishes","happy"
"accusation","partial stress"
"accusations","partial stress"
"accuse","partial stress"
"accused","partial stress"
"accuses","partial stress"
"accusing","partial stress"
"ache","partial stress"
"achievable","normal"
"aching","partial stress"
"acquit","happy"
"acquits","happy"
"acquitted","happy"
"acquitting","happy"
"acrimonious","partial stress"
"active","normal"
"adequate","normal"
"admire","happy"
"admired","happy"
"admires","happy"
"admiring","happy"
"admit","normal"
"admits","normal"
"admitted","normal"
"admonish","partial stress"
"admonished","partial stress"
"adopt","normal"
"adopts","normal"
"adorable","happy"
"adore","happy"
"adored","happy"
"adores","happy"
"advanced","normal"
"advantage","happy"
"advantages","happy"
"adventure","happy"
"adventures","happy"
"adventurous","happy"
"affected","normal"
"affection","happy"
"affectionate","happy"
"afflicted","normal"
"affronted","normal"
"afraid","partial stress"
"aggravate","partial stress"
"aggravated","partial stress"
"aggravates","partial stress"
"aggravating","partial stress"
"aggression","partial stress"
"aggressions","partial stress"
"aggressive","partial stress"
"aghast","partial stress"
"agog","happy"
"agonise","partial stress"
"agonised","partial stress"
"agonises","partial stress"
"agonising","partial stress"
"agonize","partial stress"
"agonized","partial stress"
"agonizes","partial stress"
"agonizing","partial stress"
"agree","normal"
"agreeable","happy"
"agreed","normal"
"agreement","normal"
"agrees","normal"
"alarm","partial stress"
"alarmed","partial stress"
"alarmist","partial stress"
"alarmists","partial stress"
"alas","normal"
"alert","normal"
"alienation","partial stress"
"alive","normal"
"allergic","partial stress"
"allow","normal"
"alone","partial stress"
"amaze","happy"
"amazed","happy"
"amazes","happy"
"amazing","very happy"
"ambitious","happy"
"ambivalent","normal"
"amuse","happy"
"amused","happy"
"amusement","happy"
"amusements","happy"
"anger","partial stress"
"angers","partial stress"
"angry","partial stress"
"anguish","partial stress"
"anguished","partial stress"
"animosity","partial stress"
"annoy","partial stress"
"annoyance","partial stress"
"annoyed","partial stress"
"annoying","partial stress"
"annoys","partial stress"
"antagonistic","partial stress"
"anti","normal"
"anticipation","normal"
"anxiety","partial stress"
"anxious","partial stress"
