"","user name","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"happy","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:44,"rt wionews proud of you tweeted narendramodi to congratulate p gururaja and mirabai chanu for claiming medals for india at gc  "
"happy.1","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:43,"rt railanalysis prime minister sh narendra modi likely to flag off first  hp electric locomotive on april   tcoimo "
"happy.2","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:43,"rt manharsinhbjp no other govt honoured ambedkar as we did pm shri narendramodi ji tcobxemsqzrg   via nmapp tcoqxc "
"happy.3","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:41,"rt sanjivbhatt despite all the kiteflying with the hindu hriday samrat modi actor salman salim khan is being apparently sacrificed for "
"happy.4","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:39,"rt skfrocks blackbuckpoachingcase  pic  amp    nirab modi aur vijay mallya  india ko barbaad kar ke bhag giya no case against them "
"happy.5","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:39,"rt kapilkausik funds from breakingindia forces ford foundation some magsaysay award winners antimodibrigade in india              add to thi "
"happy.6","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:38,"ricevi   in cashcoins da vodafone adsl per acquistare via tcomthlqslj eccoti piú di  modi di gu  tcowkpbpril"
"happy.7","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:38,"rt sapna i will vote for modi in  so that he can bring to culmination steps taken since may  towards making scamfree newindia "
"happy.8","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:38,"indian services sector activity returned to its growth track in march driven by greater inflows of new work follo  tcobklgsmd"
"happy.9","",12,2207,0,19,"http://t.co/QhjmBUNFC5","Happiness Engines",2012-02-13 20:05:24,FALSE,FALSE,"happy","Underwater Robot Lair","en","491585749",78,FALSE,"http://pbs.twimg.com/profile_images/3513124064/eb3378319e35d5092f2156f78cb876d3_normal.png",2018-04-05 11:40:37,"rt rishibagree while modi is against corruption amp used aadhaar to weed out leakages congress is against anti corruption amp hence agains "
