"","user name","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"hi","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"camilacabello hi camilla stay safe luv             "
"hi.1","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"hi johnmu its fine to use language subfolders if we want to transform into a multilang site a geotld domain the  tcobzmzyvv"
"hi.2","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"rt camilacabello oh my god hi i love you"
"hi.3","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"rt sundar the youth is not interested in modis mann ki baat unless he does some job ki baat the youth is not interested in modi "
"hi.4","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"rt camilacabello oh my god hi i love you"
"hi.5","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"hi dmme lona ntrf             "
"hi.6","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"kgrsocyan       "
"hi.7","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"camilacabello camila can you look at this edit please i love you very much  tcousgwtgaea hi mom"
"hi.8","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"              tcopeswvagld"
"hi.9","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:05,"rt camilacabello oh my god hi i love you"
"hi.10","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:04,"uandi                                                    tcojdhvdgdou"
"hi.11","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:04,"camilacabello hi i love you and i ll be seeing you in new york very sooooon"
"hi.12","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:04,"rt bigbodypapi when you re hispanic and get done saying hi to all your relatives  tcoyhptfygewk"
"hi.13","BYEBYE Hi en daarmee ook dit account. We zijn nog wel in de lucht, maar niet actief. Voor servicevragen kun je terecht bij @KPNwebcare. Doei!",13158,24520,188,1758,"http://t.co/EilaJ23eNj","Hi",2009-06-18 09:42:47,FALSE,TRUE,"hi","The Hague, The Netherlands","nl","48302121",233,FALSE,"http://pbs.twimg.com/profile_images/605339875534106624/ULdIiSwz_normal.jpg",2018-04-05 16:17:04,"dnvhariprasad hi hariprasad thank you for writing to us we try to get back to you with the best solution please  tcomlmirnqhb"
