"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"narendramodi","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-02 15:45:17,"ever since we formed the government we have added new energy in the manner in which padma awards are conferred th  tcomoxfhajzq"
"narendramodi.1","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-02 15:43:04," crore indians are proud of the achievements of all those who have been conferred the peoplespadma their uniqu  tcodttkbfpi"
"narendramodi.2","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-02 15:40:24,"the padma awards celebrate the achievements of exemplary individuals who have been working selflessly and assiduous  tcooowipkdvm"
"narendramodi.3","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-02 15:37:33,"attended the civil investiture ceremony at rashtrapati bhavan where the padma awards were presented here are some  tcosagusag"
"narendramodi.4","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-02 02:16:10,"begin your week by practising vrikshasana apart from other benefits this asana improves concentration and reduces  tcovxmabnw"
"narendramodi.5","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-01 09:13:23,"the stupendous performance of our shooters will strengthen the fitindia movement and many more youngsters will fee  tconwyjclzj"
"narendramodi.6","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-01 09:12:15,"ganemat sekhon s bronze in the skeet womens junior event is historic she brings glory to the nation and emerges a  tcoydcvfcrsp"
"narendramodi.7","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-01 09:09:38,"congratulations to muskan for clinching the gold in the m pistol womens junior final muskan has indeed brought  tcomomdyhncit"
"narendramodi.8","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-01 09:07:35,"anishs win in the m rapid fire pistol mens junior event is a remarkable one anish reached the final with the h  tcoohdslunopb"
"narendramodi.9","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-01 09:03:30,"anmol is one our most seasoned young shooters he has been taking part in various competitions for many years he l  tcoorcdxfrbt"
